S'	PRO	se
de	ADP	de
ce	PRON	ce
siecle	NOUN	siècle
et	CCONJ	et
que	SCONJ	que
Nostre	DET	notre
Seigneur	NOUN	seigneur
receut	VERB	recevoir
les	DET	le
ames	NOUN	ame
en	ADP	en
son	DET	son
paradis	NOUN	paradis
.	PUNCT	.
Puys	NOUN	puis
la	DET	le
revenue	VERB	revenir
du	ADP.DET	de.le
roy	NOUN	roi
Clovis	PROPN	clovir
d'	ADP	de
oubtre	NOUN	outre
mer	NOUN	mer
,	PUNCT	,
il	PRON	il
engendra	VERB	engendrer
en	ADP	en
la	DET	le
royne	NOUN	roine
sa	DET	son
femme	NOUN	femme
troys	DET	trois
filz	NOUN	fil
dont	PRON	dont
le	DET	le
premier	ADJ	premier
fuct	NOUN	fucer
apellé	VERB	appeler
Clotaire	PROPN	cloterat
,	PUNCT	,
le	DET	le
segond	ADJ	segondre
Childeric	PROPN	chilicatier
et	CCONJ	et
le	DET	le
tiers	DET	terre
Thaolderich	PROPN	tachoillier
.	PUNCT	.
Et	CCONJ	et
puys	NOUN	puis
par	ADP	par
la	DET	le
voulenté	NOUN	volonté
de	ADP	de
Nostre	DET	notre
Seigneur	NOUN	seigneur
entra	VERB	entrer
en	ADP	en
la	DET	le
commugne	NOUN	commun
voye	NOUN	voie
de	ADP	de
humaine	ADJ	humain
nature	NOUN	nature
et	CCONJ	et
trespassa	VERB	trespasser
de	ADP	de
ce	PRON	ce
siecle	NOUN	siècle
le	DET	le
xviije	NOUN	livigté
an	ADP	en
de	ADP	de
son	DET	son
regne	NOUN	renge
.	PUNCT	.
Aprés	ADP	après
la	DET	le
mort	NOUN	mort
du	ADP.DET	de.le
roy	NOUN	roi
Clovys	PROPN	clovit
demeurerent	VERB	demeurer
les	DET	le
enfans	NOUN	enfant
avecquez	ADP	avec
la	DET	le
saincte	ADJ	saint
royne	NOUN	roine
leur	DET	leur
mere	NOUN	mere
et	CCONJ	et
fuct	NOUN	fucer
Clotaire	PROPN	cloterat
couronné	VERB	couronner
roy	NOUN	roi
et	CCONJ	et
receu	VERB	recevoir
au	ADP.DET	a.le
royaulme	NOUN	royaume
et	CCONJ	et
le	DET	le
tint	VERB	tenir
mout	ADV	mout
en	ADP	en
bone	ADJ	bon
paix	NOUN	paix
par	ADP	par
l'	DET	le
ayde	NOUN	aider
et	CCONJ	et
conseil	NOUN	conseil
de	ADP	de
sa	DET	son
saincte	ADJ	saint
mere	NOUN	mere
,	PUNCT	,
la	DET	le
royne	NOUN	roine
Bauptheur	NOUN	bauthoup
,	PUNCT	,
et	CCONJ	et
aussi	ADV	aussi
par	ADP	par
le	DET	le
conseil	NOUN	conseil
de	ADP	de
plusieurs	DET	plusieurs
preudhommes	VERB	prudhomme
du	ADP.DET	de.le
royaulme	NOUN	royaume
comme	SCONJ	comme
estoit	VERB	estre
Chrodebert	PROPN	cardquerdire
evesque	NOUN	évêque
de	ADP	de
Paris	PROPN	paris
et	CCONJ	et
le	DET	le
mareschal	NOUN	maréchal
de	ADP	de
France	PROPN	france
.	PUNCT	.
En	ADP	en
ce	PRON	ce
temps	NOUN	temps
advint	VERB	advenir
par	ADP	par
le	DET	le
pourchas	NOUN	pourchas
de	ADP	de
la	DET	le
royne	NOUN	roine
Bauptheur	NOUN	bauthoup
que	SCONJ	que
ceulx	PRON	cil
d'	ADP	de
Ostraise	PROPN	ostrais
furent	VERB	estre
accordés	VERB	accorder
aux	ADP.DET	à.le
Françoys	PROPN	français
en	ADP	en
telle	DET	tel
maniere	NOUN	manière
que	SCONJ	que
Childeric	PROPN	chilicatier
,	PUNCT	,
le	DET	le
frere	NOUN	frere
de	ADP	de
Clotaire	PROPN	cloterat
,	PUNCT	,
fut	VERB	être
receu	VERB	recevoir
a	ADP	a
roy	NOUN	roi
en	ADP	en
Astraise	PROPN	astrais
.	PUNCT	.
Puys	NOUN	puis
en	ADP	en
avant	ADV	avant
furent	VERB	estre
les	DET	le
Françoys	PROPN	français
et	CCONJ	et
les	DET	le
Bourguignons	PROPN	bourguignon
ainssi	ADV	ainsi
comme	SCONJ	comme
tout	DET	tout
ung	DET	un
.	PUNCT	.
Et	CCONJ	et
nous	PRON	nous
croyons	NOUN	corir
que	SCONJ	que
ses	DET	son
troys	DET	trois
terres	NOUN	terre
furent	VERB	estre
accordees	VERB	accorder
-	PUNCT	-
Austraise	PROPN	autresian
,	PUNCT	,
France	PROPN	france
et	CCONJ	et
Bourgongne	PROPN	bourgogne
-	PUNCT	-
par	ADP	par
les	DET	le
merites	NOUN	merite
et	CCONJ	et
intercessions	NOUN	inclatres
madame	NOUN	mademe
saincte	ADJ	saint
Bauptheur	NOUN	bauthoup
.	PUNCT	.
En	ADP	en
ce	PRON	ce
temps	NOUN	temps
estoit	VERB	estre
bien	NOUN	bien
encores	ADV	encore
abaissee	VERB	abaissier
nostre	DET	notre
mere	NOUN	mere
saincte	ADJ	saint
esglise	VERB	église
a	ADP	a
cause	NOUN	cause
de	ADP	de
heresie	NOUN	esharie
,	PUNCT	,
car	CCONJ	car
a	ADP	a
paine	NOUN	peine
povoit	VERB	pouvoir
avoir	VERB	avoir
aulcun	DET	aucun
bienfice	NOUN	bienfif
,	PUNCT	,
se	PRON	se
il	PRON	il
ne	ADV	ne
l'	DET	le
achetoit	VERB	acoitier
,	PUNCT	,
mais	NOUN	mais
celle	DET	cil
maulvaise	ADJ	mauvais
coustume	NOUN	coutume
fut	VERB	être
abatue	VERB	abatre
en	ADP	en
yceluy	DET	cil
temps	NOUN	temps
par	ADP	par
le	DET	le
moyen	NOUN	moyen
de	ADP	de
madame	NOUN	mademe
saincte	ADJ	saint
Bauptheur	NOUN	bauthoup
et	CCONJ	et
des	ADP.DET	de.le
prelatz	ADJ	préler
de	ADP	de
saincte	ADJ	saint
esglise	VERB	église
et	CCONJ	et
fuct	NOUN	fucer
deffendu	VERB	defendre
en	ADP	en
general	NOUN	genail
que	SCONJ	que
nul	DET	nul
ne	ADV	ne
fuct	NOUN	fucer
si	ADV	si
hardy	ADJ	hardi
de	ADP	de
prandre	VERB	prendre
ne	ADV	ne
donner	VERB	donner
aulcune	DET	aucun
chose	NOUN	chose
pour	ADP	pour
avoir	VERB	avoir
bienfice	NOUN	bienfif
en	ADP	en
saincte	ADJ	saint
esglise	VERB	église
.	PUNCT	.
On	PRON	on
ne	ADV	ne
pourroit	VERB	pouvoir
raconter	VERB	raconter
les	DET	le
dons	NOUN	donc
qu'	SCONJ	que
elle	PRON	elle
faisoit	VERB	faire
aux	ADP.DET	à.le
religions	NOUN	religion
;	PUNCT	;
elle	PRON	elle
leur	DET	leur
donnoit	VERB	donner
les	DET	le
maisons	NOUN	maison
,	PUNCT	,
rentes	NOUN	rente
et	CCONJ	et
usaiges	NOUN	usage
en	ADP	en
ses	DET	son
forectz	NOUN	forest
pour	ADP	pour
ardoir	VERB	ardre
et	CCONJ	et
pour	ADP	pour
faire	VERB	faire
les	DET	le
maisons	NOUN	maison
et	CCONJ	et
estoit	VERB	estre
son	DET	son
courage	NOUN	courage
si	ADV	si
desirant	VERB	desirrer
de	ADP	de
donner	VERB	donner
que	SCONJ	que
chose	NOUN	chose
qu'	SCONJ	que
elle	PRON	elle
donnast	VERB	donner
ne	ADV	ne
luy	PRON	lui
povoit	VERB	pouvoir
souffire	VERB	souffrir
,	PUNCT	,
mais	NOUN	mais
luy	PRON	lui
estoit	VERB	estre
advis	NOUN	avis
que	SCONJ	que
tout	DET	tout
ce	PRON	ce
qu'	SCONJ	que
elle	PRON	elle
faisoit	VERB	faire
luy	PRON	lui
estoit	VERB	estre
come	SCONJ	come
neant	PRON	nïent
,	PUNCT	,
si	ADV	si
elle	PRON	elle
mesmes	ADJ	même
ne	ADV	ne
fondoit	VERB	fondre
les	DET	le
maisons	NOUN	maison
de	ADP	de
religion	NOUN	religion
,	PUNCT	,
dont	PRON	dont
il	PRON	il
advint	VERB	advenir
que	SCONJ	que
elle	PRON	elle
fonda	VERB	fondre
une	DET	un
abbaye	NOUN	abbaye
de	ADP	de
religieuses	ADJ	religier
que	SCONJ	que
on	PRON	on
appelle	VERB	appeler
Chelles	DET	chelle
saincte	ADJ	saint
Bauptheur	NOUN	bauthoup
en	ADP	en
l'	DET	le
evesché	NOUN	évécher
de	ADP	de
Paris	PROPN	paris
et	CCONJ	et
est	VERB	estre
celle	DET	cil
abbaye	NOUN	abbaye
environnee	NOUN	environse
de	ADP	de
la	DET	le
riviere	NOUN	riviere
de	ADP	de
Marne	PROPN	marne
ou	CCONJ	ou
elle	PRON	elle
donna	VERB	donner
plusieurs	DET	plusieurs
bones	ADJ	bon
villes	NOUN	ville
,	PUNCT	,
les	DET	le
nons	NOUN	nom
desquellez	ADJ	de.lequel
ne	ADV	ne
sont	VERB	estre
pas	NOUN	pas
icy	ADV	ici
nommez	VERB	nommer
affin	NOUN	afin
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
ennuye	NOUN	ennuyer
a	ADP	a
ceulx	PRON	cil
qui	PRON	qui
orront	VERB	ouïr
et	CCONJ	et
liront	VERB	laintre
la	DET	le
vie	NOUN	vie
.	PUNCT	.
Une	DET	un
chose	NOUN	chose
ordonna	VERB	ordonner
en	ADP	en
ycelle	DET	cil
abbaye	NOUN	abbaye
,	PUNCT	,
laquelle	DET	lequel
est	VERB	estre
moult	ADV	moult
a	ADP	a
redoubter	VERB	redouter
et	CCONJ	et
a	ADP	a
craindre	VERB	craindre
a	ADP	a
ceulx	PRON	cil
qui	PRON	qui
la	DET	le
gardent	NOUN	garder
et	CCONJ	et
gouvernent	VERB	gouverner
.	PUNCT	.
Elle	PRON	elle
fist	VERB	faire
faire	VERB	faire
une	DET	un
chartre	NOUN	charte
,	PUNCT	,
laquelle	DET	lequel
fut	VERB	être
scellee	ADJ	sceller
des	ADP.DET	de.le
ceaulx	NOUN	celai
de	ADP	de
tous	DET	tout
ses	DET	son
enfans	NOUN	enfant
,	PUNCT	,
en	ADP	en
laquelle	DET	lequel
elle	PRON	elle
deffent	VERB	défendre
et	CCONJ	et
conjure	NOUN	conjurer
au	ADP.DET	a.le
non	NOUN	nom
de	ADP	de
la	DET	le
trinité	NOUN	trinité
et	CCONJ	et
par	ADP	par
la	DET	le
paour	NOUN	peur
du	ADP.DET	de.le
redoubtable	NOUN	redoudamber
jour	NOUN	jour
du	ADP.DET	de.le
jugement	NOUN	jugement
que	SCONJ	que
nul	DET	nul
qui	PRON	qui
l'	DET	le
abbaye	NOUN	abbaye
garderoit	NOUN	garder
que	SCONJ	que
de	ADP	de
riens	NOUN	rien
que	SCONJ	que
elle	PRON	elle
y	ADV	y
eust	VERB	avoir
lessé	VERB	laissier
et	CCONJ	et
donné	VERB	donner
en	ADP	en
la	DET	le
substantacion	NOUN	subpitance
des	ADP.DET	de.le
religieuses	ADJ	religier
ne	ADV	ne
osast	VERB	oser
aulcune	DET	aucun
chose	NOUN	chose
oster	VERB	oster
ne	ADV	ne
tollir	VERB	tolir
,	PUNCT	,
et	CCONJ	et
ce	PRON	ce
on	PRON	on
le	DET	le
faisoit	VERB	faire
que	SCONJ	que
on	PRON	on
en	ADP	en
fut	VERB	être
tormenté	NOUN	tormenter
en	ADP	en
enfer	NOUN	enfer
avecquez	ADP	avec
Judas	PROPN	juder
le	DET	le
traictre	VERB	traiter
.	PUNCT	.
Qui	PRON	qui
ceste	DET	cest
chartre	NOUN	charte
querroit	VERB	querre
,	PUNCT	,
on	PRON	on
la	DET	le
trouveroit	VERB	trouver
encores	ADV	encore
au	ADP.DET	a.le
tresor	NOUN	tresor
de	ADP	de
Chelles	DET	chelle
saincte	ADJ	saint
Bauptheur	NOUN	bauthoup
.	PUNCT	.
La	DET	le
premiere	ADJ	premier
abbesse	NOUN	abbé
qui	PRON	qui
fut	VERB	être
a	ADP	a
Chelles	DET	chelle
,	PUNCT	,
ce	PRON	ce
fut	VERB	être
une	DET	un
noble	ADJ	noble
et	CCONJ	et
vertueuse	NOUN	vertuieux
religieuse	VERB	religier
qui	PRON	qui
avoit	VERB	avoir
non	NOUN	nom
Bertille	NOUN	bertil
que	SCONJ	que
la	DET	le
royne	NOUN	roine
Bauptheur	NOUN	bauthoup
prochassa	VERB	prochaser
de	ADP	de
Jouerre	PROPN	jourer
.	PUNCT	.
La	DET	le
bone	ADJ	bon
royne	NOUN	roine
avoit	VERB	avoir
moult	ADV	moult
grand	ADJ	grand
affection	NOUN	affection
de	ADP	de
y	ADV	y
resider	VERB	restir
et	CCONJ	et
demourer	VERB	demeurer
come	SCONJ	come
religieuse	VERB	religier
toute	DET	tout
sa	DET	son
vie	NOUN	vie
et	CCONJ	et
plusieurs	DET	plusieurs
grans	ADJ	grand
biens	NOUN	bien
elle	PRON	elle
fist	VERB	faire
dont	PRON	dont
elle	PRON	elle
ne	ADV	ne
ce	PRON	ce
vantoit	VERB	ventir
pas	NOUN	pas
,	PUNCT	,
car	CCONJ	car
les	DET	le
biens	NOUN	bien
que	SCONJ	que
le	DET	le
sainct	ADJ	saint
esperit	NOUN	esperir
donne	VERB	donner
a	ADP	a
la	DET	le
personne	NOUN	personne
,	PUNCT	,
on	PRON	on
les	DET	le
doibt	VERB	devoir
celler	VERB	celler
et	CCONJ	et
ne	ADV	ne
s'	DET	soi
en	ADP	en
doibt	VERB	devoir
on	PRON	on
pas	NOUN	pas
vanter	VERB	vanter
ainssi	ADV	ainsi
qu'	SCONJ	que
il	PRON	il
est	VERB	estre
escript	VERB	écrire
,	PUNCT	,
car	CCONJ	car
tous	DET	tout
ceulx	PRON	cil
et	CCONJ	et
celles	DET	cil
qui	PRON	qui
proposent	VERB	proposer
a	ADP	a
bien	NOUN	bien
faire	VERB	faire
,	PUNCT	,
Dieu	PROPN	dieu
leur	DET	leur
ayde	NOUN	aider
.	PUNCT	.
Je	PRON	je
raconteray	VERB	rocanter
encores	ADV	encore
ung	DET	un
aultre	ADJ	autre
bien	NOUN	bien
que	SCONJ	que
Nostre	DET	notre
Seigneur	NOUN	seigneur
fict	VERB	fief
par	ADP	par
la	DET	le
saincte	ADJ	saint
royne	NOUN	roine
.	PUNCT	.
Ce	PRON	ce
fut	VERB	être
l'	DET	le
abbaye	NOUN	abbaye
de	ADP	de
Corbie	PROPN	corbie
qu'	SCONJ	que
elle	PRON	elle
fonda	VERB	fondre
en	ADP	en
l'	DET	le
evesché	NOUN	évécher
d'	ADP	de
Amiens	PROPN	amiens
et	CCONJ	et
y	ADV	y
establit	VERB	établir
une	DET	un
saincte	ADJ	saint
compagnie	NOUN	compagnie
de	ADP	de
moynes	NOUN	moine
et	CCONJ	et
y	ADV	y
mist	VERB	metre
ung	DET	un
abbé	NOUN	abbé
moult	ADV	moult
sainct	ADJ	saint
homme	NOUN	homme
,	PUNCT	,
nommé	VERB	nommer
Gaudefroy	PROPN	gadefroi
,	PUNCT	,
qu'	SCONJ	que
elle	PRON	elle
prochassa	VERB	prochaser
en	ADP	en
l'	DET	le
esglise	VERB	église
de	ADP	de
Lymoges	PROPN	limoges
.	PUNCT	.
Et	CCONJ	et
ainssi	ADV	ainsi
come	SCONJ	come
celle	DET	cil
royne	NOUN	roine
avoit	VERB	avoir
ceste	DET	cest
esglise	VERB	église
faicte	VERB	faire
et	CCONJ	et
fondee	VERB	fonder
du	ADP.DET	de.le
sien	ADJ	sien
,	PUNCT	,
aussi	ADV	aussi
elle	PRON	elle
la	DET	le
fict	VERB	fief
riche	ADJ	riche
de	ADP	de
villes	NOUN	ville
et	CCONJ	et
de	ADP	de
rentes	NOUN	rente
et	CCONJ	et
de	ADP	de
tout	DET	tout
ce	PRON	ce
qu'	SCONJ	que
il	PRON	il
convenoit	VERB	convoiier
a	ADP	a
ceulx	PRON	cil
qui	PRON	qui
servoient	VERB	servir
Dieu	PROPN	dieu
et	CCONJ	et
servyront	VERB	servir
tant	ADV	tant
et	CCONJ	et
si	ADV	si
longuement	ADV	longuement
que	SCONJ	que
l'	DET	le
esglise	VERB	église
durera	VERB	durer
.	PUNCT	.
Et	CCONJ	et
oultre	ADP	outre
plus	ADV	plus
y	ADV	y
donna	VERB	donner
ung	DET	un
moult	ADV	moult
precieulx	NOUN	prexieux
reliquere	VERB	releillier
et	CCONJ	et
tous	DET	tout
les	DET	le
biens	NOUN	bien
qu'	SCONJ	que
elle	PRON	elle
faisoit	VERB	faire
,	PUNCT	,
elle	PRON	elle
faisoit	VERB	faire
de	ADP	de
bon	ADJ	bon
cueur	NOUN	coeur
et	CCONJ	et
joyeusement	NOUN	joyeument
jouxte	NOUN	joute
l'	DET	le
escripture	NOUN	écrituce
qui	PRON	qui
dict	VERB	dire
que	SCONJ	que
Nostre	DET	notre
Seigneur	NOUN	seigneur
ayme	NOUN	aimer
celuy	DET	cil
qui	PRON	qui
donne	VERB	donner
de	ADP	de
bon	ADJ	bon
coeur	NOUN	coeur
et	CCONJ	et
joyeusement	NOUN	joyeument
.	PUNCT	.
En	ADP	en
telle	DET	tel
maniere	NOUN	manière
acroissoit	VERB	acroistre
chacum	NOUN	chacun
jour	NOUN	jour
celle	DET	cil
precieuse	ADJ	precïos
royne	NOUN	roine
ses	DET	son
richesses	NOUN	richesse
,	PUNCT	,
et	CCONJ	et
de	ADP	de
ses	DET	son
biens	NOUN	bien
temporelz	ADJ	temporer
elle	PRON	elle
acqueroit	VERB	acquérir
les	DET	le
spirituelz	ADJ	sirpile
,	PUNCT	,
lesquelz	DET	lequel
les	DET	le
larrons	NOUN	larron
ne	ADV	ne
povoient	VERB	pouvoir
embler	VERB	embler
.	PUNCT	.
Oultre	PROPN	outre
plus	ADV	plus
,	PUNCT	,
elle	PRON	elle
ne	ADV	ne
oublya	VERB	oublier
pas	NOUN	pas
la	DET	le
maison	NOUN	maison
de	ADP	de
Fontenelle	PROPN	fantele
,	PUNCT	,
mais	NOUN	mais
fict	VERB	fief
illec	ADV	illuec
moult	ADV	moult
de	ADP	de
biens	NOUN	bien
et	CCONJ	et
en	ADP	en
l'	DET	le
esglise	VERB	église
de	ADP	de
Lymoges	PROPN	limoges
elle	PRON	elle
donna	VERB	donner
grans	ADJ	grand
dons	NOUN	donc
et	CCONJ	et
es	ADP.DET	en.le
esglises	VERB	eglise
de	ADP	de
Bourgongne	PROPN	bourgogne
semblablement	ADV	semblablement
.	PUNCT	.
Aussi	ADV	aussi
elle	PRON	elle
donna	VERB	donner
et	CCONJ	et
envoya	VERB	envoyer
plusieurs	DET	plusieurs
nobles	NOUN	noble
joyaulx	NOUN	joyau
et	CCONJ	et
riches	ADJ	riche
choses	NOUN	chose
a	ADP	a
l'	DET	le
esglise	VERB	église
de	ADP	de
Joerre	VERB	jeuire
ou	CCONJ	ou
elle	PRON	elle
avoit	VERB	avoir
prinse	VERB	prendre
l'	DET	le
abbesse	NOUN	abbé
Bertille	NOUN	bertil
et	CCONJ	et
les	DET	le
aultres	PRON	autre
vierges	NOUN	verge
qu'	SCONJ	que
elle	PRON	elle
avoit	VERB	avoir
mises	VERB	metre
a	ADP	a
Chelles	DET	chelle
.	PUNCT	.
Elle	PRON	elle
donna	VERB	donner
la	DET	le
Ville	NOUN	ville
Neufve	ADJ	neuf
en	ADP	en
Vermandoys	NOUN	vermenat
et	CCONJ	et
aultres	PRON	autre
rentes	NOUN	rente
moult	ADV	moult
grandes	ADJ	grand
a	ADP	a
l'	DET	le
eglise	NOUN	église
madame	NOUN	mademe
saincte	ADJ	saint
Fare	PROPN	faire
.	PUNCT	.
Elle	PRON	elle
donna	VERB	donner
une	DET	un
yle	PRON	il
avecquez	ADP	avec
les	DET	le
aultres	PRON	autre
biens	NOUN	bien
qu'	SCONJ	que
elle	PRON	elle
faisoit	VERB	faire
souvant	DET	souvent
.	PUNCT	.
Toutes	DET	tout
les	DET	le
esglises	VERB	eglise
des	ADP.DET	de.le
religieulx	ADJ	religille
et	CCONJ	et
religieuses	ADJ	religier
de	ADP	de
la	DET	le
cité	NOUN	cité
de	ADP	de
Paris	PROPN	paris
elle	PRON	elle
enrichit	VERB	enrichir
et	CCONJ	et
donna	VERB	donner
plusieurs	DET	plusieurs
rentes	NOUN	rente
et	CCONJ	et
revenues	NOUN	revenir
,	PUNCT	,
plusieurs	DET	plusieurs
villes	NOUN	ville
et	CCONJ	et
plusieurs	DET	plusieurs
pocessions	NOUN	possecion
selon	ADJ	selon
ce	PRON	ce
qu'	SCONJ	que
elle	PRON	elle
veoit	VERB	vëoir
estre	VERB	estre
le	DET	le
plus	ADV	plus
couvenable	ADJ	covenir
.	PUNCT	.
On	PRON	on
ne	ADV	ne
saroit	NOUN	sarret
bonnement	NOUN	bonnement
reciter	VERB	réciter
en	ADP	en
particulier	NOUN	particulier
les	DET	le
biens	NOUN	bien
qu'	SCONJ	que
elle	PRON	elle
faisoit	VERB	faire
aulx	ADP.DET	à.le
esglises	VERB	eglise
de	ADP	de
religion	NOUN	religion
et	CCONJ	et
ailleurs	ADV	ailleurs
.	PUNCT	.
Oultre	PROPN	outre
plus	ADV	plus
,	PUNCT	,
ceste	DET	cest
saincte	ADJ	saint
roine	NOUN	roine
faisoit	VERB	faire
une	DET	un
chose	NOUN	chose
qui	PRON	qui
ne	ADV	ne
doibt	VERB	devoir
pas	NOUN	pas
estre	VERB	estre
oublyee	VERB	oublier
,	PUNCT	,
car	CCONJ	car
a	ADP	a
tous	DET	tout
les	DET	le
abbez	NOUN	abbé
et	CCONJ	et
abbesses	NOUN	abbé
,	PUNCT	,
evesquez	NOUN	evesque
et	CCONJ	et
a	ADP	a
tous	DET	tout
aultres	PRON	autre
seigneurs	NOUN	seigneur
de	ADP	de
saincte	ADJ	saint
esglise	VERB	église
qui	PRON	qui
en	ADP	en
son	DET	son
pouvoir	NOUN	pouvoir
estoient	VERB	estre
,	PUNCT	,
elle	PRON	elle
prioit	VERB	priier
et	CCONJ	et
mandoit	VERB	mander
souvant	DET	souvent
par	ADP	par
lettres	NOUN	lettre
qu'	SCONJ	que
ilz	PRON	il
missent	VERB	mettre
paine	NOUN	peine
a	ADP	a
bien	NOUN	bien
vivre	VERB	vivre
selon	ADJ	selon
Dieu	PROPN	dieu
et	CCONJ	et
chastement	NOUN	chastement
et	CCONJ	et
qu'	SCONJ	que
ilz	PRON	il
vousissent	VERB	voloir
contraindre	VERB	contrendre
leurs	DET	leur
subjectz	NOUN	sujet
semblablement	ADV	semblablement
ung	DET	un
chacun	DET	chacun
selon	ADJ	selon
l'	DET	le
ordre	NOUN	ordre
qu'	SCONJ	que
il	PRON	il
estoit	VERB	estre
et	CCONJ	et
qu'	SCONJ	que
ilz	PRON	il
vesquissent	VERB	vëoir
justement	NOUN	justement
,	PUNCT	,
sainctement	NOUN	saintement
et	CCONJ	et
en	ADP	en
bone	ADJ	bon
humilité	NOUN	humilité
et	CCONJ	et
obedience	NOUN	obétibement
sans	NOUN	sans
murmure	NOUN	murmure
a	ADP	a
leurs	DET	leur
souverains	ADJ	souverain
et	CCONJ	et
prelatz	ADJ	préler
.	PUNCT	.
Et	CCONJ	et
affin	NOUN	afin
que	SCONJ	que
les	DET	le
prelactz	NOUN	pralit
fussent	VERB	estre
plus	ADV	plus
enclins	VERB	enclin
de	ADP	de
ce	PRON	ce
faire	VERB	faire
et	CCONJ	et
de	ADP	de
observer	VERB	osberf
et	CCONJ	et
garder	VERB	garder
son	DET	son
commandement	NOUN	commandement
,	PUNCT	,
elle	PRON	elle
leur	DET	leur
donnoit	VERB	donner
de	ADP	de
grans	ADJ	grand
dons	NOUN	donc
et	CCONJ	et
leur	DET	leur
faisoit	VERB	faire
confermer	VERB	confermer
leurs	DET	leur
grans	ADJ	grand
privileges	ADJ	privical
scelez	VERB	salet
de	ADP	de
ces	DET	ce
sceaulx	NOUN	scalade
et	CCONJ	et
de	ADP	de
ceulx	PRON	cil
de	ADP	de
ses	DET	son
enfans	NOUN	enfant
.	PUNCT	.
Et	CCONJ	et
encores	ADV	encore
je	PRON	je
reciteray	VERB	réciter
une	DET	un
chose	NOUN	chose
dont	PRON	dont
elle	PRON	elle
desservit	VERB	deservir
moult	ADV	moult
grand	ADJ	grand
loyer	VERB	loyer
envers	ADP	envers
Nostre	DET	notre
Seigneur	NOUN	seigneur
,	PUNCT	,
car	CCONJ	car
elle	PRON	elle
deffendit	VERB	défendre
que	SCONJ	que
aulcun	DET	aucun
crestien	ADJ	crestiien
ne	ADV	ne
vendit	VERB	vendre
l'	DET	le
autre	ADJ	autre
ne	ADV	ne
que	SCONJ	que
nul	DET	nul
du	ADP.DET	de.le
royaulme	NOUN	royaume
de	ADP	de
France	PROPN	france
fut	VERB	être
si	ADV	si
hardy	ADJ	hardi
qu'	SCONJ	que
il	PRON	il
envoyast	VERB	envoyer
aulcun	DET	aucun
crestien	ADJ	crestiien
hors	ADV	hors
du	ADP.DET	de.le
royaulme	NOUN	royaume
ne	ADV	ne
en	ADP	en
aultre	ADJ	autre
pays	NOUN	pays
.	PUNCT	.
Et	CCONJ	et
elle	PRON	elle
mesmes	ADJ	même
en	ADP	en
rachepta	VERB	racheter
assés	ADV	assez
,	PUNCT	,
et	CCONJ	et
les	DET	le
ungs	DET	un
en	ADP	en
laissa	VERB	laisser
aller	VERB	aller
franctz	NOUN	frandre
et	CCONJ	et
les	DET	le
aultres	PRON	autre
fist	VERB	faire
entrer	VERB	entrer
en	ADP	en
religion	NOUN	religion
en	ADP	en
leur	DET	leur
priant	VERB	priier
et	CCONJ	et
exortans	ADJ	exordre
qu'	SCONJ	que
ilz	PRON	il
vousissent	VERB	voloir
vivre	VERB	vivre
religieusement	ADV	réliger
.	PUNCT	.
Et	CCONJ	et
recommandoit	VERB	recommander
sur	ADP	sur
toutes	DET	tout
choses	NOUN	chose
aux	ADP.DET	à.le
prieres	NOUN	priier
d'	ADP	de
iceulx	DET	cil
l'	DET	le
ame	NOUN	ame
de	ADP	de
son	DET	son
seigneur	NOUN	seigneur
et	CCONJ	et
de	ADP	de
ses	DET	son
enfans	NOUN	enfant
et	CCONJ	et
la	DET	le
scienne	NOUN	siment
mesmes	ADJ	même
et	CCONJ	et
aussi	ADV	aussi
recommandoit	VERB	recommander
la	DET	le
paix	NOUN	paix
du	ADP.DET	de.le
royaulme	NOUN	royaume
et	CCONJ	et
si	ADV	si
instruisoit	VERB	instrure
et	CCONJ	et
donnoit	VERB	donner
bone	ADJ	bon
doctrine	NOUN	doctrine
et	CCONJ	et
bons	ADJ	bon
enseignemens	NOUN	ensemble
et	CCONJ	et
aussi	ADV	aussi
conseilloit	VERB	conseillier
a	ADP	a
fuir	NOUN	fuir
vaine	NOUN	vain
gloire	NOUN	gloire
,	PUNCT	,
car	CCONJ	car
les	DET	le
biens	NOUN	bien
que	SCONJ	que
on	PRON	on
faict	VERB	faire
en	ADP	en
ce	PRON	ce
monde	NOUN	monde
come	SCONJ	come
aumosnes	NOUN	aumône
,	PUNCT	,
jeusnes	NOUN	jeune
,	PUNCT	,
oraisons	NOUN	oraison
,	PUNCT	,
bons	ADJ	bon
enseignemens	NOUN	ensemble
et	CCONJ	et
bone	ADJ	bon
doctrine	NOUN	doctrine
donner	VERB	donner
et	CCONJ	et
bone	ADJ	bon
exemple	NOUN	exemple
,	PUNCT	,
bone	ADJ	bon
vie	NOUN	vie
mener	VERB	mener
et	CCONJ	et
religieuse	VERB	religier
sans	NOUN	sans
murmure	NOUN	murmure
,	PUNCT	,
tout	DET	tout
ce	PRON	ce
on	PRON	on
doibt	VERB	devoir
faire	VERB	faire
pour	ADP	pour
l'	DET	le
amour	NOUN	amour
de	ADP	de
Dieu	PROPN	dieu
et	CCONJ	et
non	NOUN	nom
pas	NOUN	pas
pour	ADP	pour
acquerir	VERB	acquérir
la	DET	le
vaine	NOUN	vain
gloire	NOUN	gloire
du	ADP.DET	de.le
monde	NOUN	monde
come	SCONJ	come
